Comentário,notaPositiva,notaNegativa,Sentimento
Qta tragedia chuvas agora isso,1,-1,neutro
Meu Deus 🙏🏻😢,1,-1,neutro
Lucas Camargo olha que merda,1,-2,negativo
"Governo precisa colocar os soldados na rua ,chega de tanta violência...",1,-4,negativo
A diretora da escola morreu,1,-1,neutro
Como se louco e bandido precisasse de lei para segurar seu dedo no gatilho...😉,2,-2,neutro
"Meu Deus ! que tristeza , meus sentimentos a essas famílias que perderam seus filhinhos num ambiente onde jamais deveria ter violência. 😪😪😪😪😪",1,-4,negativo
Senhor olhai para nosso povo quantas tristezas,1,-3,negativo
"Meu filho cometeu bullying com outro coleguinha na sala de aula no ano passado
Quando fiquei sabendo eu fui até a escola,interrompi a aula de artes chamei meu filho e o coleguinha que sofre de diabetes e por isso não pode comer doces e meu filho debochou dele
Fiz ele se retratar na frente dos colegas e dei o maior discurso pra turma
Eles ouviram calados,a prof me agradeceu e ele não recebeu mais bilhetes da escola 
Acho que falta diálogo 
Mas eu sofri numa escola que estudei e nem por isso sai matando os colegas",2,-4,negativo
"Eu sofri com bullying por boa parte da minha vida, num tempo onde essa palavra nem existia. Não saí matando ninguém, nem entrei em depressão. Isso é da índole de cada um. Se você é fraco e se deixa levar pelo que dizem, realmente o problema é você. A vida não é um moranguinho. Hoje você cai, amanhã levanta e cai de novo. Assim caminha a humanidade. Hoje é criticado e amanhã é aplaudido. Levanta essa cabeça e segue a sua luta. Cada um nasce com um destino e com um propósito. Ninguém carrega fardo mais pesado que se possa suportar.",2,-4,negativo
Sofria bulliying ... Foi demitido da empresa do tio porque cometia furtos parem de achar desculpas para pessoas com desvio de caráter !,1,-4,negativo
"Melhor texto que já li sobre o acontecimento de ontem.

Autor: Padre Fábio de Melo

""Cansado e perplexo com tantas baboseiras e falsas justificativas pras atrocidades que ainda nos surpreendem todos os dias...

Os meninos não mataram porque o porte de arma é um projeto do atual governo. Os meninos não mataram porque jogavam jogos violentos.Os meninos não mataram porque a escola foi omissa. Os meninos não mataram porque sofreram Bullying...

Eles mataram porque as famílias estão desestruturadas e fracassadas, porque não se educa mais em casa, não se acompanha mais de perto, a tecnologia substitui o diálogo, presentes compram limites, direitos e deveres e não há o conhecimento e respeito a Deus.
Precisamos parar de nos omitir, de transferir culpas. A culpa é minha, é sua, de todos nós!
"" A violência é o desdobramento de carências afetivas, da necessidade de ser visto e notado, ainda que da pior maneira""

As armas não matam, o que mata é a ausência de AMOR!!!",3,-4,negativo
A maioria dos pais não pegam nem o caderno do filho nas mãos vão conversar com ele ?,1,-3,negativo
