created_time,from,message,id,object_link.connections.comments.message
2019-03-13T14:20:25+0000,,Meu Deus ! Estamos nos fins dos tempos ...,10159181787214572_10159181876139572,null
2019-03-13T13:47:44+0000,,Qtas tragédias em São Paulo!!Vamos rezar por tdos de lá!!😢,10159181787214572_10159181812554572,null
2019-03-13T14:07:59+0000,,👉👉👉Conhecereis a verdade e a verdade vos liberta-rá lembra da campanha das arminhas.,10159181787214572_10159181850889572,"Walter Juim Luciano serio que vc ta falando disso depois dessa tragédia?
você é um maldito escroto mesmo"
2019-03-13T14:07:59+0000,,👉👉👉Conhecereis a verdade e a verdade vos liberta-rá lembra da campanha das arminhas.,10159181787214572_10159181850889572,Washington Andrade da Silva Escroto quem fez campanha com arminha.👉👉👉👉
2019-03-13T14:07:59+0000,,👉👉👉Conhecereis a verdade e a verdade vos liberta-rá lembra da campanha das arminhas.,10159181787214572_10159181850889572,Sim tem tudo haver a situação ...
2019-03-13T14:07:59+0000,,👉👉👉Conhecereis a verdade e a verdade vos liberta-rá lembra da campanha das arminhas.,10159181787214572_10159181850889572,Walter Juim Luciano ta passando vergonha
2019-03-13T14:07:59+0000,,👉👉👉Conhecereis a verdade e a verdade vos liberta-rá lembra da campanha das arminhas.,10159181787214572_10159181850889572,Walter Juim Luciano você vai querer passar essa vergonha no débito ou no crédito?
2019-03-13T14:07:59+0000,,👉👉👉Conhecereis a verdade e a verdade vos liberta-rá lembra da campanha das arminhas.,10159181787214572_10159181850889572,Nossa que velho vagabundo. Demente
2019-03-13T14:07:59+0000,,👉👉👉Conhecereis a verdade e a verdade vos liberta-rá lembra da campanha das arminhas.,10159181787214572_10159181850889572,É cada comentário sem noção. Infelizmente não é a primeira vez que acontece esse tipo de tragédia no Brasil e o que mais tem por aí é arma sem registro.
2019-03-13T14:07:59+0000,,👉👉👉Conhecereis a verdade e a verdade vos liberta-rá lembra da campanha das arminhas.,10159181787214572_10159181850889572,Walter Juim Luciano falou pouco e só falou bobagem.
2019-03-13T13:57:03+0000,,Meu Deus Que tristeza força para estes pais😢😢,10159181787214572_10159181827704572,null
2019-03-13T14:00:06+0000,,misericordia meu Deus,10159181787214572_10159181832884572,null
2019-03-13T13:43:04+0000,,Qta tragedia chuvas agora isso,10159181787214572_10159181806084572,null
2019-03-13T13:39:58+0000,,Meu Deus 🙏🏻😢,10159181787214572_10159181801144572,null
2019-03-13T13:35:25+0000,,Lucas Camargo olha que merda,10159181787214572_10159181794454572,null
2019-03-13T14:36:46+0000,,"Governo precisa colocar os soldados na rua ,chega de tanta violência...",10159181787214572_10159181906034572,null
2019-03-13T13:36:17+0000,,A diretora da escola morreu,10159181787214572_10159181796229572,null
2019-03-13T14:59:45+0000,,Como se louco e bandido precisasse de lei para segurar seu dedo no gatilho...😉,10159181787214572_10159181963349572,null
2019-03-13T14:01:26+0000,,"Meu Deus ! que tristeza , meus sentimentos a essas famílias que perderam seus filhinhos num ambiente onde jamais deveria ter violência. 😪😪😪😪😪",10159181787214572_10159181835274572,null
2019-03-13T13:33:58+0000,,Senhor olhai para nosso povo quantas tristezas,10159181787214572_10159181791534572,null
