created_time,message,id,object_link.connections.comments.message,from
2019-03-13T14:02:41+0000,"O estatuto do desarmamento não impediu esse crime, mas impediu os seguranças da escola de defende-las.",3147976375217403_3147983248550049,"Só para ter uma idéia, no caso de Realego só não foi pior, porque o policial matou aquele psicopata. Por isso que as escola deveriam ter seguranças armados.",
2019-03-13T14:02:41+0000,"O estatuto do desarmamento não impediu esse crime, mas impediu os seguranças da escola de defende-las.",3147976375217403_3147983248550049,Vanessa Barros desde quando escola tem segurança?,
2019-03-13T14:02:41+0000,"O estatuto do desarmamento não impediu esse crime, mas impediu os seguranças da escola de defende-las.",3147976375217403_3147983248550049,Cês vivem achando q a vida é filme do Vin Diesel que dá tiro em todo mundo e nunca recebe de volta. Deus me livre...,
2019-03-13T14:02:41+0000,"O estatuto do desarmamento não impediu esse crime, mas impediu os seguranças da escola de defende-las.",3147976375217403_3147983248550049,Seguranças da escola... A tia da limpeza? Vsf,
2019-03-13T14:02:41+0000,"O estatuto do desarmamento não impediu esse crime, mas impediu os seguranças da escola de defende-las.",3147976375217403_3147983248550049,"""seguranças da escola"" 

E desde quando escola pública tem segurança, fia?
Toma vergonha na sua cara! Não conhece a estrutura de uma escola pública e quer ficar falando merda.",
2019-03-13T14:02:41+0000,"O estatuto do desarmamento não impediu esse crime, mas impediu os seguranças da escola de defende-las.",3147976375217403_3147983248550049,Paula Barbosa da Silva é exatamente ai que eata o erro!,
2019-03-13T14:02:41+0000,"O estatuto do desarmamento não impediu esse crime, mas impediu os seguranças da escola de defende-las.",3147976375217403_3147983248550049,Ana Flávia tem !,
2019-03-13T14:02:41+0000,"O estatuto do desarmamento não impediu esse crime, mas impediu os seguranças da escola de defende-las.",3147976375217403_3147983248550049,Estatuto é uma lei. Se os governos se omitem a culpa é deles.,
2019-03-13T14:02:41+0000,"O estatuto do desarmamento não impediu esse crime, mas impediu os seguranças da escola de defende-las.",3147976375217403_3147983248550049,"Segurança da escola? Desde qdo escola pública tem segurança na porta?
Eu sou professora e nunca vi na vida uma escola pública com segurança.",
2019-03-13T14:02:41+0000,"O estatuto do desarmamento não impediu esse crime, mas impediu os seguranças da escola de defende-las.",3147976375217403_3147983248550049,"Guilherme Neiman já pensou se não tem ninguém armado, para deter os criminosos??? Mortes e mais mortes pois a vítima não tem como se defender, ah não ser que cante Imagine, ou joguem flores nos assassinos",
2019-03-13T14:02:41+0000,"O estatuto do desarmamento não impediu esse crime, mas impediu os seguranças da escola de defende-las.",3147976375217403_3147983248550049,Onde vc já se viu Segurança de escolas com arma sua Ridícula?,
2019-03-13T14:02:41+0000,"O estatuto do desarmamento não impediu esse crime, mas impediu os seguranças da escola de defende-las.",3147976375217403_3147983248550049,"Dani Esteves sim, as escolas tinham que ter segurança especializada pra proteger os alunos e o funcionários, mas nunca teve, eu estudei em escola pública e nunca vi, quando tinha algum problema chamavam a polícia.",
2019-03-13T14:02:41+0000,"O estatuto do desarmamento não impediu esse crime, mas impediu os seguranças da escola de defende-las.",3147976375217403_3147983248550049,Vanessa Barros parabéns disse tudo,
2019-03-13T14:02:41+0000,"O estatuto do desarmamento não impediu esse crime, mas impediu os seguranças da escola de defende-las.",3147976375217403_3147983248550049,Vanessa Barros seguranças da escola? Vanessa você já estudou em escola pública? Rsss,
2019-03-13T14:02:41+0000,"O estatuto do desarmamento não impediu esse crime, mas impediu os seguranças da escola de defende-las.",3147976375217403_3147983248550049,E escola pública tem segurança?,
2019-03-13T14:02:41+0000,"O estatuto do desarmamento não impediu esse crime, mas impediu os seguranças da escola de defende-las.",3147976375217403_3147983248550049,"Pra quem tá incentivando esse papo: levanta quantos tiroteios tivemos em escolas, causados por adolescentes, e quantos tiroteios países com maiores facilidades ao porte de arma tiveram.

E na boa gente, a vida não é filme. ""Direito a defesa""? O importante é saber como adolescentes pegaram armas, se eram estudantes, tentar entender formas de evitar isso.
Vocês tão falando da ideia de alguém, dentro de uma escola, percorrer os corredores armados, trocar tiros e ainda assim acredita que haveria menos riscos",
2019-03-13T14:02:41+0000,"O estatuto do desarmamento não impediu esse crime, mas impediu os seguranças da escola de defende-las.",3147976375217403_3147983248550049,O contrabando dos amiguinhos do seu presidente que põem essas armas em circulação.,
2019-03-13T14:02:41+0000,"O estatuto do desarmamento não impediu esse crime, mas impediu os seguranças da escola de defende-las.",3147976375217403_3147983248550049,Paula Barbosa da Silva nenhuma escola tem. Nem as particulares. Tá mais do que na hora de mudar essa realidade,
2019-03-13T14:02:41+0000,"O estatuto do desarmamento não impediu esse crime, mas impediu os seguranças da escola de defende-las.",3147976375217403_3147983248550049,"Seria mais uma arma disparando tiros... vc supõe que acertariam os atiradores!
Como tem gente q pensa errado...",
2019-03-13T14:02:41+0000,"O estatuto do desarmamento não impediu esse crime, mas impediu os seguranças da escola de defende-las.",3147976375217403_3147983248550049,"Vanessa Barros, vai dar bom pra quando teu marido chegar bêbado e tu for discutir com ele!",
2019-03-13T14:02:41+0000,"O estatuto do desarmamento não impediu esse crime, mas impediu os seguranças da escola de defende-las.",3147976375217403_3147983248550049,Vai ser burra assim na casa do caralho,
2019-03-13T14:02:41+0000,"O estatuto do desarmamento não impediu esse crime, mas impediu os seguranças da escola de defende-las.",3147976375217403_3147983248550049,O segurança da escola vai atirar em aluno ?????,
2019-03-13T14:02:41+0000,"O estatuto do desarmamento não impediu esse crime, mas impediu os seguranças da escola de defende-las.",3147976375217403_3147983248550049,"Gente, se uma criatura dessas quer invadir uma escola e atirar em todos, ELA VAI FAZER ISSO. Todos sempre serão surpreendidos. O problema é o poder que uma arma de fogo tem. Não existe massacre nessa proporção com faca por exemplo.",
2019-03-13T14:02:41+0000,"O estatuto do desarmamento não impediu esse crime, mas impediu os seguranças da escola de defende-las.",3147976375217403_3147983248550049,"Vanessa Barros Os EUA têm um dos maiores índices de ataques com armas de fogo em escolas do planeta. Porém, as vidas das crianças, adolescentes e adultos não são mais importantes que a grande indústria de armas dos EUA(esta que comanda a política americana).

O ataque em Suzano reflete um pouco isso... principalmente do que está por vir.",
2019-03-13T14:02:41+0000,"O estatuto do desarmamento não impediu esse crime, mas impediu os seguranças da escola de defende-las.",3147976375217403_3147983248550049,"Vanessa Barros não sei quem é pior, os atiradores ou vc 🤔",
2019-03-13T14:02:41+0000,"O estatuto do desarmamento não impediu esse crime, mas impediu os seguranças da escola de defende-las.",3147976375217403_3147983248550049,Mais armas? Mais vítimas?,
2019-03-13T14:02:41+0000,"O estatuto do desarmamento não impediu esse crime, mas impediu os seguranças da escola de defende-las.",3147976375217403_3147983248550049,Eu tenho certeza que você nunca leu o estatuto.,
2019-03-13T14:02:41+0000,"O estatuto do desarmamento não impediu esse crime, mas impediu os seguranças da escola de defende-las.",3147976375217403_3147983248550049,"""Seguranças da escola""

Essa conhece a realidade das escolas públicas hein.",
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,Não mesmo...isso já existiu em governos anteriores...,
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,"Verdade, antes de 01/01/2019 não havia nenhum crime registrado no Brasil por conta de arma de fogo. (y)",
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,"Ana Claudia de Camargo Nossa, antes do Bolsonaro não existia mercado negro de armas, traficante não tinha fuzil kkkkkkkkkk",
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,Ana Claudia de Camargo essa manja do assunto. Kkkkkk,
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,O massacre de realengo foi em que governo mesmo?,
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,Os autores desse crime tinha registro das armas?,
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,"Sim, porque o gosto pessoal do presidente influencia quem vai cometer um massacre na escola.",
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,"O estatuto do desarmamento não impediu esse crime, mas impediu os seguranças da escola de defende-las.",
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,"Ué, isso não acontecia antes?",
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,Ana Claudia de Camargo tão bonita e Tão burra tipo a magda do caco antibes.,
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,É só cantar o hino nas escolas e fazer armimha,
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,"Oooooh nossa,nunca aconteceu tragédias antes,né não?? AFFFFF,😶🤐.",
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,"Ana Claudia 

Você é uma canalha",
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,Fernando Ribeiro macho mandando eu me calar tão meigo defendendo o mito kkkkklkkkk,
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,"Fernando Ribeiro lógico tipo armas, miliciano Bolsonaro nada a ver",
