created_time,message,id,object_link
2019-03-13T14:08:57+0000,E o estatuto do desarmamento funcionou mais uma vez 👏,2432417393455393_2432446426785823,
2019-03-13T14:20:07+0000,"Gente! Não temos pra onde correr e a palavra de Deus se cumprindo ! O amor está esfriando acabando! E um matando o outro, marido matando esposa! Pai matando filho. Doenças enfim tudo isso por falta de AMOR!única forma e a gnte buscar Deus ele sabe de todas as coisas.....",2432417393455393_2432458566784609,
2019-03-13T13:50:12+0000,Que triste eu acho que é o fim do mundo,2432417393455393_2432425833454549,
2019-03-13T13:55:24+0000,A gente precisa orar meu Deus do céu...,2432417393455393_2432432340120565,
2019-03-13T13:48:47+0000,Que triste.,2432417393455393_2432424426788023,
2019-03-13T14:06:29+0000,"20 Anos depois..
de Columbine.... Aqueles 2 demônios... Ainda inspiram esses monstros.",2432417393455393_2432444096786056,
2019-03-13T15:41:20+0000,"O terrorismo tá começando a agir no Brasil, CAVUCA",2432417393455393_2432550233442109,
2019-03-13T14:01:31+0000,"Governo do odio atraiu toda energia negativa sob o Brasil, eleitores odientos e escr0t0s... desastres, assassinatos em serie, vioencia contra a mulher, tragedias.... isso eh fato..",2432417393455393_2432438860119913,
