Comentário,notaPositiva,notaNegativa,Sentimento
eu acho muito vagabudo estes deputados que vontara para esta tau de reforma,1,-1,neutro
Como votaram os parlamentares cearenses ? Pra eu saber em quem NÃO votar na próxima,1,-1,neutro
E viva a compra de votos! Viva a nova velha política!,1,-2,negativo
Deputados corruptos,1,-2,negativo
Retrocesso... 😔,1,-1,neutro
Triste realidade as profécias estão a se cumprir politicos acreditem existe um Deus mais poderoso que clama por justiça.vcs daqui a quatro anos querem votos fica a Dica,3,-3,neutro
Amanda Vieira,1,-1,neutro
Os pobres de direita devem estar tão felizes idiotas .,2,-2,neutro
S pensAm neles...,2,-1,positivo
"Comerem MITOS tome chibata nos pobres e os pobres ainda comemoram. E o,o vida de gado povo marcado e povo feliz.",2,-2,neutro
"Q NOTÍCIA BOA , VAMOS TODOS SE FUDER  , MERECEMOS O BRASIL Q TEMOS .👏👏👏",2,-1,positivo
Viva BOLSONARO e PAULO GUEDES. Heróis.👊❤👏💚#BOLSONARO2022,1,-1,neutro
E como sempre nois não faz nada😐😕,1,-1,neutro
"Genocídio programado acionado, agora é só esperar os pobres trabalhadores morrerem.",2,-2,neutro
Valeu Rodrigo Maia 😂😂😂😂,2,-1,positivo
O dinheiro já tá na conta!,2,-1,positivo
E tome choradeira!!! Kkkkkk,2,-4,negativo
Vamos pá frete Brasil 🙌🏽🙌🏽🙌🏽,1,-1,neutro
O povo tem que começar a meter a chibata nesses políticos sacados e corruptos que foram comprado pra votar contra o povo e nesse presidente vagabundo,1,-2,negativo
Alguém tem que bancar os políticos...,1,-1,neutro
Com dinheiro consegue tudo,1,-1,neutro
qq pobre de direita q estiver comemorando... FODA-SE,1,-2,negativo
Que comecem os jogos mortais para nos pobres!,2,-4,negativo
A época da escravatura está voltando o pobre so vai se aposentar agora quando tive morrendo,1,-2,negativo
novidade?,1,-1,neutro
Bando de desgraçados,1,-3,negativo
"Vai ser mais choro da esquerda durante todo o mandato, a esquerda elegeu o bolsonaro, agora a esquerda ajudou a aprovar a reforma da previdência, a esquerda ja começou as campanhas pra reeleição de bolsonaro e a candidatura de Sérgio Moro, mesmo sem querer, a esquerda está ajudando o nosso brasil crescer positivamente, continuem assim!!",3,-4,negativo
Vence o Brasil 🇧🇷,1,-1,neutro
CHORAAAAAAAA RESISTÊNCIA DO CARAAAAAALHO QUE NÃO SERVE PRA NADAAAAAA KKKKKKKKKKKK,2,-4,negativo
Reforma ou extinção da assistência social?. O trabalhar contribui pros politicos roubarem mais. Pq os serviços sociais nada funciona,1,-2,negativo
Agora vai😎👉👉,1,-1,neutro
"Partiu neoliberalismo e Previdência privada. Bancos privados comemoram.  Trabalhador assalariado tomou no c* . Mas deputado, juiz e general tão de boa. Kkkkkkkk",2,-2,neutro
Economia no lombo do mais pobre. Triste,1,-3,negativo
Vão averbar o tempo de serviço de vcs... Depois verão o quão essa reforma irá nos prejudicar.,1,-3,negativo
"Soldados do satanás! Porque nem palavras fundamentadas pra esculhambar esses cão em tenho no momento,de tanta raiva.",1,-4,negativo
Vence o brasil melhoras na reforma da previdencia,2,-1,positivo
Aprovação da previdência:Temos que elogiar como Rodrigo Maia conduziu essa votação e o discurso de encerramento. Valeu Brasil.,3,-1,positivo
"""ain, que absurdo pobre comemorando a reforma"" - Vá se lascar, as pessoas que produzem estão cagando para sua mediocridade cheia de rancor e vitimismo. Só quem suporta gente estúpida e vitimista é uma outra igual.",2,-2,neutro
Viva BOLSONARO e PAULO GUEDES. Heróis.👊❤👏💚#BOLSONARO2022,1,-1,neutro
"Brasil Acima de Tudo, Deus Acima de Todos. O País Vai Começar a Crescer.",1,-1,neutro
sentir na pele das consequencias,1,-1,neutro
sentir na pele das consequencias,1,-1,neutro
Tem gente aplaudindo sem nem entender essa desgraça meu Deus!!tanta ignorância!!!,1,-3,negativo
E viva esses políticos infelizes 😠😠😠,1,-3,negativo
"Deus acima de todos? Conchavo e corrupção acima de tudo, e os pobres abaixo de todos!",1,-2,negativo
"Agora o povão gado, fica cada vez mais lascado e os deputados cada vez mais ricos. Mitouuu!",2,-1,positivo
A deus aposentadoria,1,-1,neutro
"Acho que todo castigo pra gente ignorante é pouco,Tem gente que só sabe fazer filho,engravidar,não se interessa em concluir nem o 2 grau,só pensa em ser pião na vida,ou viver limpando chão,não se esforça pra nada na vida,vive fazendo o básico e ainda por cima quer saber dialogar discutindo com um assunto Tão sério desses que só vai maleficiar a classe inferior e beneficiar a superior.Ignorância tem preço e o maior deles vai vir agora.Que Comemorem os leigos,enquantos os sábios lamentam.",2,-3,negativo
Pobre feliz! Sabe que não vai tá vivo até lá! 🤦🏻‍♂️,2,-2,neutro
Vão chorar? 🔝,1,-5,negativo
O que adiantar chorar foi vcs que botaram ele no poder,1,-4,negativo
Caraí doido,1,-1,neutro
Bando de covardes todos vendidos.,1,-2,negativo
Afffeeee até que enfim,2,-1,positivo
Brasil agora andar,1,-1,neutro
RICOS comemorando o fim da aposentadoria dos POBRES e os POBRES aplaudindo!!.,1,-2,negativo
Pior do que ver reforma da previdência ser aprovada é ver pobre comemorando 🤦🏻‍♂️🤣,1,-3,negativo
"Também. Com dinheiro para eles que por acaso, o Governo não tinha pra população e de repente se percebeu que tinha pra eles e o presidente ainda tem a cara de pau de dizer que isso é normal. Legal né? 🤔🤔🤔🤔",3,-2,positivo
Alcides Branco,1,-1,neutro
"Esquerdistas estão fracos, tem que chorar mais",1,-4,negativo
Que Deus tenha misericórdia de nós!,1,-1,neutro
"Vence o Brasil como assim não entendi , 🤔",1,-1,neutro
"Rodrigo Maia fez um discurso desnecessário só pra aparecer e dizer “ gente eu sou importante eu que comando está câmara . O Centrão e do bem , estava fazendo a tarefa de casa . Discurso pra falar que stf é justo . Pare com essa palhaçada todos sabem que stf é corruptos . Você precisa aproximar de Deus , leia a Bíblia todos os dias , antes de trabalhar Maia .",2,-3,negativo
E novamente o Brasil vai ser rico prós rico...,1,-1,neutro
Pobre e uma desgraça vamos morrer todos na peia,1,-2,negativo
O CHORO É LIVRE BANDO ESQUERDOPATAS...KKKKKKKKKKKK,2,-4,negativo
Viva BOLSONARO e PAULO GUEDES. Heróis.👊❤👏💚#BOLSONARO2022,1,-1,neutro
Tenham paciência com os eleitores do bozonaro que eles são que nem caixa preta de avião só  abre depois da tragedia,1,-1,neutro
Exelente!,1,-1,neutro
Se fudeu brasileiros,1,-1,neutro
Bandidos e uma quadrilha grande 🤢🤢,3,-2,positivo
Fudeu,1,-1,neutro
Obrigado Bolsonaro e Paulo Guedes Heróis do Brasil 🇧🇷🇧🇷🇧🇷🇧🇷👏👏😎👉👉,2,-1,positivo
O chicote vai estralar nas costas do trabalhador.,1,-2,negativo
Parabéns pelo o preço de cada deputados .espero que os eleitores em 2022 ainda vote nesse currupitos que não estão nem a ir para o povão os menos favorecidos .,1,-1,neutro
Não tinha dúvidas disso. Assim como foi a reforma ou atualização da CLT. E ainda Irão acabar com todas as Normas de Segurança do Trabalho aí quero ver esse povo todo escrever o quanto foi benéfica essas reformas.,3,-2,positivo
Bando de covardes,1,-2,negativo
É questão de matemática. Uma pessoa contribue por 30 anos com 20% de seu salário. Aos 60 se aposenta e hoje se vive até uns 90. Como ele receberia então 100% do valor nesse tempo? A conta não fecha,2,-2,neutro
Se eu tivesse 10 milhões na conta também aprovaria.. .😂😂😂,2,-1,positivo
Faz arminha e pagar a conta malandro,2,-1,positivo
Foi muito Bem parabéns Bolsonaro e Paulo Guedes que Deus abençoe vocês sempre,2,-1,positivo
Simples assim 👏👏👏👏,1,-2,negativo
"Meu Deus... Todos "" COMPRADOS"" , pagos com o nosso dinheiro e tem gente aplaudindo 🙊",1,-1,neutro
"Pra trás é que se anda Brasil,mas como toda glória passa,breve veremos mais fome e miséria é a velha República.",2,-2,neutro
Tem tanto pobre jeca do Brasil.,1,-2,negativo
Parabéns aos deputados comprados,1,-1,neutro
Festa  se fosse aumentar o salário festa  aposentadoria fosse na idade 50anos  agora que vai lascas todos os pobres  vai ter muito desemprego com certeza,1,-2,negativo
"Parabéns ao início do fim da aposentadoria para os assalariados, os empresários que comemorem",1,-2,negativo
Bandidos! O tempo vai se encarregar de cobrar todo o mal que estão fazendo com o povo!,1,-3,negativo
O POVO AGORA VAI ENTENDER O QUE É GOVERNAR PARA OS RICOS!,1,-1,neutro
E rico cada vez fica mais rico e pobre cada vez fica mais pobre. Mas uma vez foram enganados.,1,-2,negativo
Antes das eleicao. Baixava.  O pau na reforma agora taai. Vai na onda desse 71 e faz sinal de arminha que passa,1,-2,negativo
Avante BRASIL!!!,1,-1,neutro
Show!!!,1,-1,neutro
Vamos pra frente Brasil,1,-1,neutro
CANALHAS CANALHAS CANALHAS,1,-2,negativo
"Para os pobres nada mudará apenas nos tempos a mais pra se aposentar iguais a todos ,tem quê paga pelos desastre deixado pelos presentes anterior de 29 anos prá cá , logo Mais uns anos vai passar aí vão agradece o presidente atual pelos cuidado e a visão que esteve junto com sua equipe  ,a não deixar acontece o desastre que está por vir, aliás estavam",3,-3,neutro
"PROFESSORA DA UFRJ DESMONTA REFORMA DA PREVIDÊNCIAhttps://youtu.be/JFEI9waglF4A professora da UFRJ, Denise Gentil, expõe sua perspectiva sobre a proposta de reforma da Previdência.https://youtu.be/fIzKNjyU_5IMaria Lúcia Fatorelli 'mata' Paulo Guedes à tapashttps://www.facebook.com/robertorequiao/videos/411921356328960/Maria Lúcia Fatorelli em 5 minutoshttps://youtu.be/MxjXjM5R6rAPalestra de Eduardo Moreira no Senado Federal sobre a Reforma da Previdênciahttps://youtu.be/mVzTJ0ZM1ZIPrograma Duplo Expresso debate Reforma da Previdência com Maria Lucia Fattorellihttps://youtu.be/Q1G6FgzWxJUMaria Lucia Fattorelli - REFORMA DA PREVIDÊNCIAhttps://youtu.be/MGSOjn_pxAYPrevidência: auditor fiscal questiona déficit e reformahttps://youtu.be/qWssYAeMj3w44 coisas que você precisa saber sobre a Reforma da Previdênciahttps://diariopb.com.br/44-coisas-que-voce-precisa-saber-sobre-a-reforma-da-previdencia/",3,-2,positivo
