Comentário,notaPositiva,notaNegativa,Sentimento
Cada vez mas a falta de Deus no coração do ser humano é a justificativa para toda essas barbáries 😭,1,-2,negativo
"Medo de sair de casa e ir pra escola, faculdade, ou cinema, shopping, praças... As pessoas estão surtadas, hoje em dia. Deus nos proteja e console essas famílias.",1,-3,negativo
Peço a Deus q proteja sempre meu filho e todos q estudam senhor e q livrem de todo o mal 🙏,2,-3,negativo
Meu Deus oque está acontecendo senhor muita tragédia 💔😱😭falta Deus Abençoe senhor as famílias pai.🙏🏻🙌🏻,3,-3,neutro
LIBERA PORTE DE ARMA PRA POPULAÇÃO DE BEM. VAI DA CERTO SIM,3,-2,positivo
"Oh meu Deus!!!! o que é isso? pra que isso? porque isso? é muito chocante , é muito triste,é muito sofrimento,pra onde a gente se vira é desgraça pra todos os lados, imagina os pais dessas crianças e jovens?",1,-4,negativo
Terror essa é a palavra. Que Deus console familiares e amigos.,1,-1,neutro
Vício de jogo! Meu Deus tô arrasada,2,-1,positivo
É só o começo de um erro..,1,-1,neutro
Ainda tem gente que crítica os pais em quererem ensinar seus filhos em casa.,3,-2,positivo
A violência se tornou diversão para muita gente.,3,-4,negativo
"No entanto só desavenças,brigas e conflitos 😭😭",1,-2,negativo
Meu Deus muito triste força aos familiares,3,-3,neutro
Viva o estatuto do armamento! 😔,1,-1,neutro
"2019 veio com tudo , salve -se quem puder .. só Jesus por nós mesmo",2,-1,positivo
"1 adolescente , o outro era maior !",1,-1,neutro
Muito triste em casa 😭➰😔 que deus conforte o coração da familia e amigos,1,-3,negativo
Que Deus conforte essas famílias,1,-1,neutro
Misericórdia so Jesus Cristo na causa,1,-1,neutro
"Meu Pai do céu , quantas tragédias só neste começo de ano .",2,-3,negativo
Meu Deus tem misericórdia dessas crianças!😢😢,1,-1,neutro
Triste uma situação dessas Deus tém misericórdia,1,-3,negativo
Esses mulekes se inspiram em jogos de vídeo games.,3,-1,positivo
Esse ataque foi baseado nesse jogo nojento tal de freefire deviam bloquear esse jogo..,2,-3,negativo
Eu rir quando a TV falou que o motivo foi um jogo chamado fortnat.,2,-3,negativo
"Meu Deus,,
Pai misericórdia ao familiares",1,-1,neutro
Infelizmente a população optou por um projeto de governo que gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3,-4,negativo
Isso e esse tal de free fire,1,-1,neutro
Meu Deus tenha misericórdia desses jovens 😔,1,-1,neutro
Onde vamos parar com tanta violência,1,-4,negativo
inspirados? alguem noto?,1,-1,neutro
"Tá passando sobre isso mas emissoras 
😬",1,-1,neutro
Anderlei Marinho,1,-1,neutro
Fim dos tempos Jesus Cristo,1,-1,neutro
Muito triste 😢😢😢😢,1,-3,negativo
Eu tenho o vídeo do massacre horrivel,1,-2,negativo
"Valei-nos, mãe do Perpétuo Socorro!
😪😪😪",1,-1,neutro
"Vcs querem ver o vídeo , eu tenho",3,-1,positivo
"muito,muito triste mesmo",1,-3,negativo
2 Funcionários,1,-1,neutro
Meu Deus,1,-1,neutro
Alou,1,-1,neutro
Tragédia 😢,1,-3,negativo
misericórdia,1,-1,neutro
Misericórdia,1,-1,neutro
É muito triste 😢,1,-3,negativo
Meu Deus,1,-1,neutro
Meus Deus 😭que triste 😭,1,-3,negativo
Nossa que tristeza meu deus😢,1,-3,negativo
Vaneide Dias foi ai perto da tua casa ne?,1,-1,neutro
Sem comentários 😭,1,-1,neutro
"""Se as crianças estivessem armadas nada disso teria acontecido""😑",1,-1,neutro
