Comentário,notaPositiva,notaNegativa,Sentimento
Espero que vocês entendam de uma vez.,2,-1,positivo
Chora esquerda imunda e imoral,1,-4,negativo
Canhotada imundaaa pira,1,-1,neutro
Agora se alguém soltase uma bomba aí não ia fazer falta p niguem,1,-2,negativo
"Infelizmente os Estados e municípios ficaram de fora, por causa de deputados COVARDES .",1,-3,negativo
Todos esses covardes se venderam! Só sujeiras meu Deus!!,1,-4,negativo
Agora sim foi extinta a aposentadoria no Brasil e não vão chorar depois,1,-5,negativo
"Para o desespero dos esquerdistas. A Direita venceu novamente. Vamos Brasil, Unidos somos fortes contra a tiranía e mentiras da esquerda.",1,-3,negativo
Classe política e o povo,1,-1,neutro
Coloca com areia nos bolsominions kkkk,2,-1,positivo
Deve ter rolado um din din ...,1,-2,negativo
O choro é livre e o Lula não.kkkkkk,2,-4,negativo
👉👌👌👌👌👌🏾👌👌👌👌👌👌👌👌👌 agora  faz arminha,1,-1,neutro
Grana pra todos ....,1,-1,neutro
"Claro a maioria se vendeu, esses são os políticos que elegemos",2,-2,neutro
PTistas comem capim estão chorando chorando kkkkkkkkk,2,-5,negativo
Um bando de urubu em cima do dinheiro de um país que se diz falido.,1,-3,negativo
nós estamos preste á trabalhar até morrer é ainda tem gente alienado comemorando dizendo que o Lula ta prezo,1,-2,negativo
Muito dinheiro rolou. .políticos corruptos,1,-2,negativo
"Não era isso que vcs queriam , então toma",3,-1,positivo
"Só é contra a Reforma quem ñ entende,  para o assalariado é um benefício...as pessoas ñ se informam e ficam contra...",1,-2,negativo
Melhor notícia 😍,2,-1,positivo
Avante! 🇧🇷,1,-1,neutro
Grande dia 👍🏼🇧🇷,3,-1,positivo
#ReformaJá,1,-1,neutro
A petralhada pira,1,-1,neutro
E os idiotas falando do Lula e pt.,1,-3,negativo
"Nem defendo mais, tomara que se ferrem mesmo!! Vou achar é graça!!",2,-2,neutro
"Meu Deus, tenha misericórdia dos seus filhos .",1,-1,neutro
Grande dia para os idiotas,3,-2,positivo
O maior mensalão já pago na história desse país...,1,-1,neutro
O povo pra gostar de sofrer,3,-4,negativo
"Aos que apoiam, teria como explicar e detalhar quais as vantagens do novo texto para pessoas que ganham 1 salário mínimo e quem tem 18 anos hoje e começa a trabalhar amanhã... vai ter que laborar até que idade para conseguir se aposentar com 100% dos valores?",2,-2,neutro
Eu tô só vendo o comentários dos pobres burguês fala sério. 😡😡😡,1,-3,negativo
379 vagabundos e pilantras junto com esse governo de bosta!,1,-2,negativo
Indignos! Votam contra o povo!😡,1,-2,negativo
Bando de canalhas e abutres!,1,-3,negativo
E o povo sfd novamente.,1,-1,neutro
"Mano tem muito gente achando que  os políticos vão  se aposentar ganhando um salário  mínimo, ou povo ingênuo.",2,-3,negativo
Grande dia!!!Vamos que vamos! O Brasil tem jeito!!!🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,3,-1,positivo
Os que estão aplaudindo essa reforma devem ser todos ricos certo??? Porque não é possível.... 🤦,1,-2,negativo
